"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.7934208765621e-13,0.482821232790044,0.775,0.556,4.2118351992469e-09,"2","Vdac1"
4.85287345601824e-13,0.318185256118974,1,1,5.38814539821705e-09,"2","Rps18"
4.90375172140875e-13,0.385352061909679,1,0.999,5.44463553628014e-09,"2","Scg5"
4.98397642640425e-13,0.300996857835983,1,1,5.53370902623664e-09,"2","Rplp1"
5.21719472465221e-13,0.382551288692579,0.988,0.979,5.79265130278135e-09,"2","Ndufv3"
5.50817554191001e-13,0.415149569377697,0.434,0.201,6.11572730418268e-09,"2","Thrsp"
5.98246195733169e-13,0.311101058682483,1,1,6.64232751122537e-09,"2","Rpl31"
6.38431570097039e-13,0.39571156358462,0.959,0.917,7.08850572278743e-09,"2","Romo1"
6.86578627305014e-13,0.410605880953632,0.959,0.95,7.62308249896758e-09,"2","Selenom"
8.65753776294905e-13,0.305262076255033,1,1,9.61246417820233e-09,"2","Rplp2"
8.6758583283959e-13,0.481620123567821,0.799,0.628,9.63280550201797e-09,"2","Stmn3"
9.69373348507193e-13,0.378582221584993,0.951,0.966,1.07629522884754e-08,"2","Nenf"
9.93180350040081e-13,0.480672766211467,0.586,0.343,1.1027281426495e-08,"2","Nsg1"
1.04160429587416e-12,0.392670266703576,0.906,0.881,1.15649324970908e-08,"2","Ndufa11"
1.61697120124837e-12,0.329152211847053,0.988,0.989,1.79532312474607e-08,"2","Ndfip1"
1.69720535903439e-12,0.360353866977576,0.996,1,1.88440711013589e-08,"2","Spint2"
2.06339344129657e-12,0.434787321214261,0.93,0.858,2.29098573787159e-08,"2","Hcfc1r1"
2.1053337262233e-12,0.380036078838948,0.926,0.891,2.33755203622572e-08,"2","Rbx1"
2.56131841110127e-12,0.376349566862527,0.98,0.972,2.84383183184574e-08,"2","Cox5b"
2.70974945652613e-12,0.508015320071246,0.639,0.407,3.00863482158096e-08,"2","Creg1"
2.72802293227778e-12,0.348707426002963,0.934,0.891,3.02892386170802e-08,"2","Lamp1"
2.7863449074512e-12,0.298957185375235,1,1,3.09367875074307e-08,"2","Rpl27"
2.95377980198409e-12,0.413280007860548,0.926,0.92,3.27958171414294e-08,"2","Park7"
4.19350623246225e-12,0.35345655500178,0.984,0.988,4.65604996990284e-08,"2","Uqcrb"
4.32948086595522e-12,0.439267011218569,0.561,0.314,4.80702260547008e-08,"2","C1d"
4.38542416832161e-12,0.297463741179875,1,1,4.86913645408748e-08,"2","Rpl26"
4.62912382307791e-12,0.376782377615681,0.971,0.95,5.13971618076341e-08,"2","Ndufa6"
6.05844870310191e-12,0.299812157950063,1,1,6.72669559505405e-08,"2","Rps24"
6.31362053872825e-12,0.395016558584862,0.898,0.88,7.01001288414998e-08,"2","Mdh2"
6.63317434615993e-12,0.391888795374121,0.881,0.848,7.36481347654137e-08,"2","Micos13"
7.09592889026711e-12,0.307505877825223,1,0.999,7.87860984686357e-08,"2","Rpl34"
7.23741572030895e-12,0.357014245123503,0.971,0.956,8.03570267425903e-08,"2","Ndufb11"
8.23810804179304e-12,0.366886588329787,0.988,0.972,9.14677135880281e-08,"2","Swi5"
9.87071878527797e-12,0.384032909638382,0.98,0.988,1.09594590672941e-07,"2","Calm1"
1.34020274586064e-11,0.328113491276053,1,0.997,1.48802710872907e-07,"2","Rpl30"
1.70836353946224e-11,0.368108921785163,0.959,0.95,1.89679603786493e-07,"2","Rabac1"
1.89700624864805e-11,0.364938696761378,0.988,0.978,2.10624603787393e-07,"2","Selenof"
2.03341795888489e-11,0.408161276213205,0.533,0.297,2.2577039597499e-07,"2","Polr2j"
2.03643106221138e-11,0.358267089673382,0.947,0.964,2.2610494083733e-07,"2","Tma7"
2.15029330199872e-11,0.328861226489704,0.955,0.941,2.38747065320918e-07,"2","Rnasek"
2.17734752867183e-11,0.280716729011552,1,0.999,2.41750896108434e-07,"2","Rpl35"
2.2093313467784e-11,0.364739708262585,0.914,0.855,2.45302059432806e-07,"2","Nedd8"
2.25075765127133e-11,0.347358061875703,0.967,0.961,2.49901622020656e-07,"2","Gnb2"
2.30340499384616e-11,0.433596323589476,0.648,0.419,2.5574705646674e-07,"2","Psip1"
2.40888106368339e-11,0.369757763911859,0.906,0.881,2.67458064500766e-07,"2","Hsbp1"
2.89012772752982e-11,0.445203587251601,0.635,0.436,3.20890881587636e-07,"2","Ly6e"
3.10435843074583e-11,0.345297164299034,0.967,0.952,3.44676916565709e-07,"2","Ndufs5"
