"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cfap36",3.35649754629109e-06,0.413470559551008,0.771,0.491,0.0372671922564699,"2","Cfap36"
"Zeb2",3.38467300354936e-06,0.252731219095935,0.205,0.044,0.0375800243584085,"2","Zeb2"
"Atxn7",3.40738211114339e-06,0.347649458622983,0.434,0.185,0.037832163580025,"2","Atxn7"
"Snrpd2",3.56508411143572e-06,0.411876381785005,0.855,0.565,0.0395831288892708,"2","Snrpd2"
"Rps3",3.62166116075104e-06,0.355346285578821,1,0.989,0.0402113038678188,"2","Rps3"
"Smdt1",3.63616764729195e-06,0.397293330222515,0.916,0.727,0.0403723693878825,"2","Smdt1"
"Ube2d3",3.65781622096463e-06,0.413651174537385,0.952,0.779,0.0406127335013703,"2","Ube2d3"
"Aen",3.79103995687621e-06,0.256125414321711,0.277,0.081,0.0420919166411966,"2","Aen"
"Hax1",3.82986102299878e-06,0.333294773454616,0.542,0.262,0.0425229469383555,"2","Hax1"
"Rab14",3.84944096507894e-06,0.412753593150566,0.88,0.579,0.0427403430352714,"2","Rab14"
"Ppme1",3.87091574736384e-06,0.449480008613957,0.53,0.284,0.0429787775429807,"2","Ppme1"
"Ube2v2",3.89006397809049e-06,0.344539530622238,0.759,0.443,0.0431913803487387,"2","Ube2v2"
"Zcchc17",3.98516575817413e-06,0.403328861829844,0.59,0.303,0.0442472954130074,"2","Zcchc17"
"Mrps24",4.03355015787145e-06,0.372209217973832,0.566,0.28,0.0447845074028467,"2","Mrps24"
"Golt1b",4.10677386650004e-06,0.33536239371094,0.554,0.262,0.0455975102397499,"2","Golt1b"
"Gnas",4.12391905960201e-06,0.285743159862133,1,1,0.0457878733187611,"2","Gnas"
"Nop53",4.16833703044459e-06,0.432154178579814,0.795,0.509,0.0462810460490263,"2","Nop53"
"Zfp638",4.24064658281228e-06,0.28797935609422,0.506,0.225,0.0470838990089647,"2","Zfp638"
"Snrnp27",4.26003551418688e-06,0.378989681405317,0.735,0.41,0.047299174314017,"2","Snrnp27"
"Rps15",4.38678586486405e-06,0.386251896057189,1,0.989,0.0487064834575855,"2","Rps15"
"Ndufb2",4.4897477485488e-06,0.419790552049726,0.892,0.583,0.0498496692521373,"2","Ndufb2"
"Tmem60",4.49865511644957e-06,0.392504855925443,0.59,0.306,0.0499485677579396,"2","Tmem60"
"Ier2",1.76123947709279e-17,1.77462966692003,0.864,0.373,1.95550419141613e-13,"3","Ier2"
"Fos",1.36359884074386e-16,1.82409818589218,0.915,0.437,1.51400379287791e-12,"3","Fos"
"Btg2",3.12683724874933e-16,1.6020360140801,0.949,0.671,3.47172739728638e-12,"3","Btg2"
"Egr1",5.48445428687744e-13,0.958875266613797,0.695,0.247,6.08938959472002e-09,"3","Egr1"
"Jpt11",1.24857377005525e-09,0.804571288357058,0.898,0.549,1.38629145689235e-05,"3","Jpt1"
"Gnb2",1.49720406892785e-09,0.704485720770804,0.966,0.864,1.66234567773059e-05,"3","Gnb2"
"Pgam1",1.7471303493277e-09,0.605444761923039,0.966,0.641,1.93983882685854e-05,"3","Pgam1"
"Tnnt1",2.30645755140514e-08,0.888968687611256,0.678,0.305,0.000256085981932513,"3","Tnnt1"
"Oaz11",2.49836330462724e-08,0.510723219702049,1,0.997,0.000277393277712762,"3","Oaz1"
"Cfl11",3.66057590314715e-08,0.591733458698592,0.983,0.814,0.000406433742526428,"3","Cfl1"
"Dctn21",5.05315445873342e-08,0.476005516570271,0.644,0.275,0.000561051739553172,"3","Dctn2"
"Ppdpf",9.24411278444469e-08,0.586940150161599,0.763,0.417,0.00102637384245689,"3","Ppdpf"
"Rpl18a1",1.02019331212887e-07,0.473714876008611,1,0.993,0.00113272063445668,"3","Rpl18a"
"B630019K06Rik",1.13589370269243e-07,0.633286948064537,0.847,0.468,0.00126118277809941,"3","B630019K06Rik"
"Samd14",1.18367612312993e-07,0.303780748177103,0.305,0.068,0.00131423559951116,"3","Samd14"
"Mrps26",1.25006625986991e-07,0.490050853695689,0.695,0.329,0.00138794856833356,"3","Mrps26"
"Morf4l21",1.66906148191205e-07,0.478861076110355,1,0.925,0.00185315896336695,"3","Morf4l2"
"Ndufb41",1.80434566484105e-07,0.533873728788694,0.966,0.658,0.00200336499167302,"3","Ndufb4"
"Fbxo22",2.05979773896405e-07,0.379152963580312,0.424,0.136,0.00228699342957179,"3","Fbxo22"
"Rps27a1",2.20604549652393e-07,0.474650199082849,1,0.993,0.00244937231479052,"3","Rps27a"
"Ccndbp1",2.47065789989723e-07,0.381306641966294,0.492,0.176,0.0027431714662559,"3","Ccndbp1"
"Pnrc1",2.6925670256232e-07,0.523762344284419,0.881,0.539,0.00298955716854943,"3","Pnrc1"
"Ppp1ca1",2.74163688716779e-07,0.515778935575155,0.881,0.512,0.0030440394358224,"3","Ppp1ca"
"Rps191",2.94753122022501e-07,0.51885675942688,1,0.993,0.00327264391381583,"3","Rps19"
"Arf2",3.10469362311323e-07,0.317536325770205,0.356,0.098,0.00344714132974262,"3","Arf2"
"Tle51",3.30142952679304e-07,0.572889668420581,0.898,0.634,0.00366557720359831,"3","Tle5"
"Polr2f",3.69131085140776e-07,0.530722912823088,0.797,0.437,0.00409846243831804,"3","Polr2f"
"Eif11",4.30017524767376e-07,0.418990897486159,1,0.997,0.00477448457749218,"3","Eif1"
"Fam131a",4.83951692222379e-07,0.339630096620821,0.322,0.085,0.00537331563874508,"3","Fam131a"
"Cfap410",5.00002630172081e-07,0.358869673275499,0.424,0.139,0.00555152920280061,"3","Cfap410"
"Pkig",5.54300380034721e-07,0.514573172829758,0.78,0.42,0.00615439711952551,"3","Pkig"
"Pim3",6.55609284082853e-07,0.373246872172343,0.475,0.173,0.00727922988117192,"3","Pim3"
"Nap1l5",8.04760883445443e-07,0.599950622754462,0.983,0.854,0.00893526008889475,"3","Nap1l5"
"Cpne3",8.18555389748339e-07,0.294791964949848,0.305,0.078,0.0090884204923758,"3","Cpne3"
"Ubb",8.72229010844118e-07,0.504042505337589,1,0.997,0.00968435870740224,"3","Ubb"
"Ucp21",9.5169887633947e-07,0.524567902668987,0.983,0.729,0.0105667126239971,"3","Ucp2"
"Pcp41",1.01721091646301e-06,0.595132899753247,0.898,0.6,0.0112940928054888,"3","Pcp4"
"Oaz2",1.07250271048951e-06,0.503890890073839,0.831,0.566,0.011907997594565,"3","Oaz2"
"Ptms1",1.07859347650985e-06,0.554967760423319,0.915,0.664,0.0119756233696888,"3","Ptms"
"Fnta",1.24895853694304e-06,0.437951891226846,0.627,0.302,0.0138671866356785,"3","Fnta"
"Fkbp1a1",1.38487028013161e-06,0.530638985189394,0.932,0.79,0.0153762147203013,"3","Fkbp1a"
"Mob4",1.6082448225163e-06,0.434402824145775,0.678,0.342,0.0178563422643985,"3","Mob4"
"Ctnnb1",1.63285465198772e-06,0.484481107673322,0.644,0.332,0.0181295852010196,"3","Ctnnb1"
"Ugp2",1.68194076256905e-06,0.347923303420307,0.695,0.319,0.0186745882868042,"3","Ugp2"
"Rnf71",1.74794336966333e-06,0.466593143927936,0.949,0.661,0.0194074152333719,"3","Rnf7"
"Camk2b",1.89368842600329e-06,0.42978408464803,0.644,0.319,0.0210256225939145,"3","Camk2b"
"Baiap3",2.06824504371937e-06,0.426625473554055,0.712,0.369,0.0229637247204161,"3","Baiap3"
"Zwint1",2.26283350840704e-06,0.469973174763729,0.932,0.553,0.0251242404438433,"3","Zwint"
"Gatd3a",2.33772609307737e-06,0.477206320365273,0.424,0.166,0.0259557728114381,"3","Gatd3a"
"Acadm",2.4526985199485e-06,0.330751945274369,0.305,0.085,0.0272323116669882,"3","Acadm"
"Rpl81",2.50683700362776e-06,0.409511648604064,1,1,0.0278334112512791,"3","Rpl8"
