"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gnas2",4.37233094873873e-17,0.348814282952566,1,1,4.85459905238461e-13,"4","Gnas"
"Mrpl41",4.48080572337863e-17,0.262639233827034,0.605,0.327,4.9750385946673e-13,"4","Mrpl41"
"Cox7c1",6.29575156684753e-17,0.293530752085609,1,0.99,6.99017296467081e-13,"4","Cox7c"
"Sdhd",8.32678496161645e-17,0.273966242490241,0.54,0.281,9.24522934288274e-13,"4","Sdhd"
"Tsr3",8.89182051851282e-17,0.266616334521596,0.511,0.259,9.87258832170478e-13,"4","Tsr3"
"Mrps12",1.56506321608793e-16,0.28223564675292,0.678,0.378,1.73768968882243e-12,"4","Mrps12"
"Scg5",1.76050088414075e-16,0.317794730957039,0.996,0.975,1.95468413166148e-12,"4","Scg5"
"Unc50",1.90085539192939e-16,0.268294223167852,0.547,0.288,2.1105197416592e-12,"4","Unc50"
"Npm11",1.99953373936815e-16,0.310722276556044,0.953,0.948,2.22008231082046e-12,"4","Npm1"
"Ring1",2.03302861155212e-16,0.252643273555149,0.453,0.218,2.25727166740632e-12,"4","Ring1"
"Sirt2",2.36147334080666e-16,0.276365189402088,0.42,0.202,2.62194385029763e-12,"4","Sirt2"
"Iscu",2.55931656897094e-16,0.313978304952752,0.808,0.487,2.84160918652843e-12,"4","Iscu"
"Snap471",2.85005499480518e-16,0.294905188829715,0.707,0.419,3.16441606073219e-12,"4","Snap47"
"Caly1",3.69633097829232e-16,0.383703107907885,0.801,0.51,4.10403628519797e-12,"4","Caly"
"Mrpl36",5.81136368004483e-16,0.253256579781154,0.42,0.2,6.45235709395377e-12,"4","Mrpl36"
"Ndufs5",5.89338317813726e-16,0.259196038081284,0.989,0.944,6.5434233426858e-12,"4","Ndufs5"
"Calm1",8.37852467655468e-16,0.343257083533949,1,0.99,9.30267594837866e-12,"4","Calm1"
"Psmd8",1.16704266573853e-15,0.257419937712031,0.71,0.403,1.29576747176949e-11,"4","Psmd8"
"Mrps261",1.34531097392265e-15,0.263116853866195,0.569,0.319,1.49369877434632e-11,"4","Mrps26"
"Cops7a",1.34548846961272e-15,0.288184913084106,0.565,0.319,1.493895847811e-11,"4","Cops7a"
"Rab251",1.59849983883651e-15,0.255851947005051,0.598,0.322,1.77481437106018e-11,"4","Rab25"
"Naxd",1.66736480538229e-15,0.284006911605113,0.565,0.324,1.85127514341596e-11,"4","Naxd"
"Mtfr1l",1.74719607756079e-15,0.257555813995188,0.504,0.267,1.93991180491575e-11,"4","Mtfr1l"
"Fbxo21",2.40877996366241e-15,0.374703231893839,0.833,0.582,2.67446839365437e-11,"4","Fbxo2"
"Cox5b",3.55805503245883e-15,0.266722647381595,0.986,0.942,3.95050850253903e-11,"4","Cox5b"
"Scg2",3.5934555060284e-15,0.343054062303337,1,0.984,3.98981364834334e-11,"4","Scg2"
"Pebp11",3.66803837867173e-15,0.270635046028552,0.978,0.923,4.07262301183922e-11,"4","Pebp1"
"Qdpr",4.46817436963259e-15,0.264435737406179,0.467,0.236,4.96101400260306e-11,"4","Qdpr"
"Pkig1",5.72954636867037e-15,0.282765108514648,0.612,0.351,6.36151533313472e-11,"4","Pkig"
"Dab2ip",6.28711282728327e-15,0.268773386946357,0.475,0.251,6.98058137213262e-11,"4","Dab2ip"
"Suclg1",7.47904489520287e-15,0.266475279322923,0.652,0.38,8.30398354714375e-11,"4","Suclg1"
"Ly6h2",7.78981823763538e-15,0.347694195620524,1,0.997,8.64903518924656e-11,"4","Ly6h"
"Eno3",8.88588821649613e-15,0.288783093057642,0.275,0.109,9.86600168677565e-11,"4","Eno3"
"Hikeshi",8.89744163541221e-15,0.263504372652584,0.562,0.311,9.87882944779818e-11,"4","Hikeshi"
"Mrps34",1.04926557078173e-14,0.268268561145974,0.504,0.267,1.16499956323896e-10,"4","Mrps34"
"Syn2",1.10105746615823e-14,0.313755721703765,0.449,0.233,1.22250410467549e-10,"4","Syn2"
"Mdh21",1.34856663078943e-14,0.310170340227133,0.906,0.773,1.4973135301655e-10,"4","Mdh2"
"Eif3i1",1.7897965024117e-14,0.254733306793239,0.692,0.413,1.98721105662771e-10,"4","Eif3i"
"Ndufs3",2.32782090136765e-14,0.282049424472573,0.707,0.439,2.5845795467885e-10,"4","Ndufs3"
"Txn2",3.05917821130379e-14,0.255488800153002,0.587,0.342,3.3966055680106e-10,"4","Txn2"
"Psma51",4.13802759630966e-14,0.267430024223857,0.681,0.424,4.59445204018262e-10,"4","Psma5"
"Lmo1",4.85200545949938e-14,0.343785001340998,0.583,0.353,5.38718166168216e-10,"4","Lmo1"
"Bpgm1",5.77105480581073e-14,0.279661703089093,0.627,0.379,6.40760215089165e-10,"4","Bpgm"
"Mvb12a",6.07830635581174e-14,0.262034125343032,0.467,0.249,6.74874354685777e-10,"4","Mvb12a"
"Tsnax",6.59588772970556e-14,0.258186429808971,0.46,0.241,7.32341414629209e-10,"4","Tsnax"
"Rpl91",6.60816871068584e-14,0.250512005216734,1,0.996,7.33704971947449e-10,"4","Rpl9"
"Slc25a11",6.61954938940538e-14,0.312388480759521,0.645,0.398,7.3496856870568e-10,"4","Slc25a11"
"Kif1a",6.8825496320736e-14,0.273969692861338,0.569,0.333,7.64169485649132e-10,"4","Kif1a"
"Aga",7.24229900148182e-14,0.280387222360551,0.627,0.377,8.04112458134527e-10,"4","Aga"
"Dda1",7.626555075223e-14,0.257746364797333,0.612,0.357,8.4677641000201e-10,"4","Dda1"
"Lsm4",7.85416180068332e-14,0.262759159598796,0.736,0.443,8.72047584729869e-10,"4","Lsm4"
"Mrpl20",8.18392974267556e-14,0.300754567934154,0.754,0.491,9.08661719329267e-10,"4","Mrpl20"
"Polr2e",9.20324568943134e-14,0.256344113620896,0.601,0.347,1.02183636889756e-09,"4","Polr2e"
"Sod1",1.14819343406507e-13,0.255988874104726,0.674,0.398,1.27483916984244e-09,"4","Sod1"
"Timm17a",1.1675355876822e-13,0.252744350043521,0.616,0.369,1.29631476300355e-09,"4","Timm17a"
"Ckmt1",1.20356270659518e-13,0.254034543294958,0.46,0.247,1.33631567313263e-09,"4","Ckmt1"
"Serf2",1.28829044819529e-13,0.303359236966956,0.978,0.94,1.43038888463123e-09,"4","Serf2"
"Ssu72",1.29685570697017e-13,0.286564817415944,0.62,0.374,1.43989889144898e-09,"4","Ssu72"
"Pla2g12a",1.68227740575288e-13,0.286102788039366,0.623,0.379,1.86783260360742e-09,"4","Pla2g12a"
"Nnat2",1.71438975516956e-13,0.401512576174254,1,0.996,1.90348694516476e-09,"4","Nnat"
"Mrpl58",1.92535111729099e-13,0.260240073006579,0.569,0.335,2.13771734552819e-09,"4","Mrpl58"
"Rp9",2.42430846925978e-13,0.255939384540174,0.569,0.329,2.69170969341913e-09,"4","Rp9"
"Uqcrc21",2.43703619455254e-13,0.286035505320616,0.649,0.41,2.70584128681168e-09,"4","Uqcrc2"
"Krt10",3.31025003093153e-13,0.283658090799389,0.536,0.316,3.67537060934328e-09,"4","Krt10"
"Pkm1",3.769724740846e-13,0.265458021324991,0.942,0.923,4.18552537976131e-09,"4","Pkm"
"Ckb1",4.2128538449362e-13,0.345372994970402,0.96,0.901,4.67753162403266e-09,"4","Ckb"
"Crhr11",4.24065840756431e-13,0.261771544193204,0.652,0.405,4.70840302991865e-09,"4","Crhr1"
"Sez6l2",4.50819301007562e-13,0.307362604541279,0.67,0.426,5.00544669908696e-09,"4","Sez6l2"
"Mrps111",4.78628613443557e-13,0.274779293952908,0.569,0.344,5.31421349506382e-09,"4","Mrps11"
"Eef1a21",4.82514531935013e-13,0.263108286004896,0.703,0.433,5.35735884807445e-09,"4","Eef1a2"
"C2cd4b1",4.91679787592955e-13,0.524163297707718,0.37,0.186,5.45912068164458e-09,"4","C2cd4b"
"Creg12",5.05857250919553e-13,0.331846094972152,0.848,0.574,5.6165330569598e-09,"4","Creg1"
"Gamt",6.85737641822605e-13,0.254186797665912,0.576,0.328,7.61374503715639e-09,"4","Gamt"
"Vat11",6.95861857809962e-13,0.320593356303583,0.656,0.434,7.72615420726401e-09,"4","Vat1"
"Ndufa1",7.02040277196733e-13,0.266225036409945,0.957,0.921,7.79475319771533e-09,"4","Ndufa1"
"Tle5",9.81262586603816e-13,0.281947648540427,0.946,0.906,1.08949584990622e-08,"4","Tle5"
"Set",1.05518060990209e-12,0.283272065648706,0.645,0.407,1.17156703117429e-08,"4","Set"
"Npdc1",1.122965720816e-12,0.25549324908151,0.739,0.509,1.246828839822e-08,"4","Npdc1"
"Pld3",1.23674864771596e-12,0.310139526614808,0.848,0.702,1.37316202355903e-08,"4","Pld3"
"Srsf10",1.2990059113293e-12,0.263240778906344,0.63,0.389,1.44228626334892e-08,"4","Srsf10"
"Basp11",1.47514036355379e-12,0.279094917884628,0.533,0.306,1.63784834565378e-08,"4","Basp1"
"Bex4",1.7179752046563e-12,0.278628541686832,0.83,0.638,1.90746786972989e-08,"4","Bex4"
"Bex1",1.99365989108594e-12,0.325809267403459,0.822,0.778,2.21356057707272e-08,"4","Bex1"
"Ndufb8",1.2316920097993e-11,0.260546908832738,0.946,0.814,1.36754763848016e-07,"4","Ndufb8"
"Ubxn1",1.3852335871644e-11,0.250663310862756,0.873,0.717,1.53802485182863e-07,"4","Ubxn1"
"Ndufb7",1.44718987284644e-11,0.269307388014818,0.808,0.589,1.60681491582141e-07,"4","Ndufb7"
"Ndufs8",1.72309098808479e-11,0.261199397196174,0.663,0.433,1.91314792407054e-07,"4","Ndufs8"
"Mrps24",2.91841586134165e-11,0.275759479795229,0.554,0.348,3.24031713084764e-07,"4","Mrps24"
"Nol7",3.16021378835392e-11,0.260621833646857,0.678,0.438,3.50878536920936e-07,"4","Nol7"
"Mien1",3.48068978504583e-11,0.263222592379172,0.754,0.567,3.86460986833638e-07,"4","Mien1"
"Pigp",4.52144118602085e-11,0.253267543884107,0.87,0.667,5.02015614883895e-07,"4","Pigp"
"Chd31",5.10893029397962e-11,0.305932376225213,0.649,0.429,5.67244530540557e-07,"4","Chd3"
"Tekt11",5.50813377810106e-11,0.267486989142991,0.804,0.55,6.11568093382561e-07,"4","Tekt1"
"Abhd81",6.43874467797323e-11,0.258514046407763,0.641,0.417,7.14893821595368e-07,"4","Abhd8"
"Mrln1",6.91005044403289e-11,0.305265015791628,0.674,0.456,7.67222900800971e-07,"4","Mrln"
"Tceal3",1.77154794751157e-10,0.255621129705986,0.844,0.641,1.96694968612209e-06,"4","Tceal3"
"Nenf",4.30776793067352e-10,0.256251326854237,0.935,0.925,4.78291473342681e-06,"4","Nenf"
"Idh3b1",5.39659918954541e-10,0.251705860038113,0.518,0.33,5.99184408015227e-06,"4","Idh3b"
"Tesc",5.72060013526684e-10,0.278343790324623,0.449,0.267,6.35158233018677e-06,"4","Tesc"
"Efemp12",7.2519851994872e-10,0.254600839343974,0.656,0.443,8.05187916699064e-06,"4","Efemp1"
"Rsph10b",7.30754093156866e-10,0.252920555349933,0.409,0.24,8.11356269632069e-06,"4","Rsph10b"
"Cuta",1.07190943817855e-09,0.269262869836468,0.775,0.624,1.19014104920965e-05,"4","Cuta"
"Psmb51",1.6655407603088e-08,0.250046759552051,0.739,0.527,0.000184924990617086,"4","Psmb5"
"Pcp4",2.51455821910716e-08,0.308870773256386,0.819,0.706,0.000279191399067468,"4","Pcp4"
"Cpe",7.48003228749891e-08,0.252102220519636,0.899,0.881,0.000830507984881004,"4","Cpe"
"Kcnk22",1.09857115101803e-07,0.250946515017829,0.757,0.541,0.00121974354897532,"4","Kcnk2"
"Camk2n11",1.73996848940602e-07,0.273030955856766,0.674,0.543,0.00193188701378751,"4","Camk2n1"
"Ptgds1",2.23275202873696e-06,0.260575925367312,0.435,0.289,0.0247902457750665,"4","Ptgds"
"Cga",7.00243622345506e-104,1.63597761959391,0.962,0.51,7.77480493890215e-100,"5","Cga"
"Rps14",8.50226879047153e-80,1.24199851581776,1,0.983,9.44006903806054e-76,"5","Rps14"
"Rps15a1",8.47079726285541e-77,1.11346589160398,1,0.968,9.40512620094836e-73,"5","Rps15a"
"Rpl26",8.54470004795325e-71,1.09160926419695,1,0.962,9.48718046324249e-67,"5","Rpl26"
"Prl1",1.93128949493237e-66,1.08505056859224,0.985,0.817,2.14431072622341e-62,"5","Prl"
"Tshb",4.22844767640244e-66,1.21103193700651,0.5,0.129,4.69484545510963e-62,"5","Tshb"
"Ftl1",1.87304898464551e-63,1.16421604661468,1,0.93,2.07964628765191e-59,"5","Ftl1"
"Rps191",5.13358039004051e-62,0.895478443991584,1,0.991,5.69981430706198e-58,"5","Rps19"
"Rpl14",1.22172996935748e-61,1.00384268792651,1,0.977,1.35648678497761e-57,"5","Rpl14"
"Rplp1",6.72951423180782e-58,0.951856983673585,0.992,0.96,7.47177965157623e-54,"5","Rplp1"
"Rps15",2.11545572118679e-55,1.00769841094107,0.962,0.805,2.3487904872337e-51,"5","Rps15"
