"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Irf3",1.81907866355579e-06,0.283213645982861,0.356,0.118,0.02019723040146,"7","Irf3"
"Exoc5",1.82908213141819e-06,0.278995236425063,0.356,0.117,0.0203082989051362,"7","Exoc5"
"Recql",1.94139144319834e-06,0.288062452970018,0.289,0.086,0.0215552691938311,"7","Recql"
"Gab1",1.97792287523399e-06,0.307174808259786,0.311,0.096,0.021960877683723,"7","Gab1"
"Stx18",1.99200206852044e-06,0.414220902454387,0.422,0.168,0.0221171989667824,"7","Stx18"
"Cript",2.01813041523712e-06,0.407455783111799,0.733,0.384,0.0224073020003778,"7","Cript"
"Fam3c",2.02713524697045e-06,0.447867559936038,0.689,0.373,0.0225072826471129,"7","Fam3c"
"Cd47",2.0355575447773e-06,0.455893029720257,0.889,0.588,0.0226007954196623,"7","Cd47"
"Bscl2",2.03797116221353e-06,0.36026967123434,0.356,0.122,0.0226275938140568,"7","Bscl2"
"Bola31",2.0582945137586e-06,0.344110406515362,0.556,0.236,0.0228532439862618,"7","Bola3"
"Snrnp35",2.05893124633551e-06,0.362915012336825,0.622,0.292,0.0228603136280632,"7","Snrnp35"
"Lsm6",2.15541622706492e-06,0.367291992782872,0.8,0.417,0.0239315863691018,"7","Lsm6"
"Zfp574",2.17387321541771e-06,0.307353791578778,0.422,0.156,0.0241365143107828,"7","Zfp574"
"Irf2bp1",2.24644699338141e-06,0.364561323000241,0.533,0.233,0.0249423009675138,"7","Irf2bp1"
"Slc5a3",2.28856193185221e-06,0.388145742788995,0.467,0.184,0.0254099031293551,"7","Slc5a3"
"Rad23b",2.29974907785955e-06,0.377676776324,0.778,0.4,0.0255341140114745,"7","Rad23b"
"Peli1",2.34226202273221e-06,0.28642085024305,0.289,0.087,0.0260061352383958,"7","Peli1"
"Itgb3bp",2.37717291272394e-06,0.334138772666831,0.467,0.186,0.026393750849974,"7","Itgb3bp"
"Rela",2.40089023412327e-06,0.296678409585307,0.2,0.048,0.0266570842694706,"7","Rela"
"Mphosph6",2.43369950587141e-06,0.388007041091032,0.711,0.358,0.0270213656136903,"7","Mphosph6"
"Rps4x",2.50027764682891e-06,0.489908269973136,0.667,0.344,0.0277605827127413,"7","Rps4x"
"Kmt5a",2.53643174543521e-06,0.31363223809708,0.311,0.099,0.0281620016695672,"7","Kmt5a"
"Glcci1",2.59928921365282e-06,0.363597902218397,0.4,0.152,0.0288599081391872,"7","Glcci1"
"Rsph1",2.61867014963867e-06,0.306671020604895,0.4,0.146,0.0290750946714382,"7","Rsph1"
"Ddx5",2.66009870785412e-06,0.526325747245264,0.978,0.957,0.0295350759533043,"7","Ddx5"
"Mrpl38",2.70349649209687e-06,0.307007031562474,0.378,0.134,0.0300169215517515,"7","Mrpl38"
"Trappc2",2.72674531992128e-06,0.315536995826806,0.467,0.184,0.030275053287086,"7","Trappc2"
"Rpl301",2.74928683047828e-06,0.339229524523924,1,0.999,0.0305253316788003,"7","Rpl30"
"Npc2",2.75029293979051e-06,0.472936973293877,0.733,0.421,0.030536502510494,"7","Npc2"
"Ctdsp1",2.86147366228457e-06,0.256170024878296,0.289,0.086,0.0317709420723455,"7","Ctdsp1"
"Rbm42",2.87914067667943e-06,0.343879667603892,0.511,0.217,0.0319670989331718,"7","Rbm42"
"Dstn",2.90391541452831e-06,0.927290883185379,0.889,0.669,0.0322421728475079,"7","Dstn"
"Add3",2.97762670981964e-06,0.333483523403432,0.311,0.1,0.0330605893591275,"7","Add3"
"Dsel",3.02835604267007e-06,0.252343662961136,0.222,0.057,0.0336238371417657,"7","Dsel"
"Dnajc9",3.11101191379563e-06,0.394634117168062,0.533,0.231,0.0345415652788728,"7","Dnajc9"
"Cdc37",3.14893698569765e-06,0.309768344512078,0.489,0.198,0.034962647352201,"7","Cdc37"
"Rpl5",3.15883509772586e-06,0.437921483900078,1,0.99,0.0350725460900502,"7","Rpl5"
"Cast",3.17095625547988e-06,0.296823124086609,0.356,0.122,0.0352071273045931,"7","Cast"
"Ptp4a1",3.20293382934578e-06,0.389408007461264,0.578,0.263,0.0355621743072262,"7","Ptp4a1"
"Exosc8",3.21507241036308e-06,0.262764418791535,0.378,0.132,0.0356969489722613,"7","Exosc8"
"Higd2a",3.24869621351687e-06,0.400155571030817,0.822,0.459,0.0360702740586779,"7","Higd2a"
"Srsf31",3.2530633051323e-06,0.52412428078637,0.889,0.564,0.0361187618768839,"7","Srsf3"
"Fv1",3.36246467916259e-06,0.385836801516513,0.533,0.24,0.0373334453327422,"7","Fv1"
"Tob1",3.36943690562606e-06,0.545855035471998,0.756,0.426,0.0374108579631662,"7","Tob1"
"Vps41",3.4826802339357e-06,0.337110027351326,0.622,0.286,0.038668198637388,"7","Vps41"
