"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dnaaf2",5.59464886016245e-17,0.416205817422387,0.362,0.118,6.21173862943837e-13,"0","Dnaaf2"
"Gskip",7.5324910798203e-17,0.367345060596552,0.551,0.268,8.36332484592448e-13,"0","Gskip"
"Itm2b",8.80413038593923e-17,0.359547878176628,1,1,9.77522596750832e-13,"0","Itm2b"
"Ywhae",1.37458188591127e-16,0.328107682249316,0.994,0.984,1.52619826792728e-12,"0","Ywhae"
"Lamp1",1.82699765428045e-16,0.406582036564458,0.988,0.951,2.02851549554758e-12,"0","Lamp1"
"Tubb4b",3.10512824620051e-16,0.433279330781329,0.85,0.599,3.44762389175642e-12,"0","Tubb4b"
"Clptm1",3.64183121589817e-16,0.374862644556007,0.611,0.333,4.04352519901174e-12,"0","Clptm1"
"Igtp",9.89504960926509e-16,0.425999104865171,0.518,0.255,1.0986473581167e-11,"0","Igtp"
"Pcsk1n",1.64430984681248e-15,0.315367557985809,1,1,1.8256772229159e-11,"0","Pcsk1n"
"Lgals9",1.78252702989831e-15,0.409193712257016,0.56,0.297,1.97913976129609e-11,"0","Lgals9"
"Eno1",2.13629201158657e-15,0.43810440230531,0.925,0.763,2.37192502046457e-11,"0","Eno1"
"Btg2",2.49825827843977e-15,1.12253357623056,0.653,0.443,2.77381616655168e-11,"0","Btg2"
"Araf",2.900433832035e-15,0.427919466879318,0.766,0.543,3.22035168370846e-11,"0","Araf"
"Ddit4l",3.59408793515481e-15,0.594411213765635,0.769,0.543,3.99051583440239e-11,"0","Ddit4l"
