"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Serpinh1",1.02985267921285e-09,1.54323890782855,0.34,0.167,1.14344542973003e-05,"3","Serpinh1"
"Clu",1.28011193582435e-09,1.13722655574919,0.522,0.383,1.42130828234577e-05,"3","Clu"
"Arid5a",1.60300922945207e-09,0.341176049482725,0.252,0.086,1.77982114746063e-05,"3","Arid5a"
"Rbm39",2.19085625795638e-09,0.387177311430417,0.969,0.96,2.43250770320897e-05,"3","Rbm39"
"Fbl",2.6909768092848e-09,0.376819144050071,0.528,0.277,2.98779155134891e-05,"3","Fbl"
"Rab6a",2.99508740716544e-09,0.525557120693823,0.604,0.377,3.32544554817579e-05,"3","Rab6a"
"Arfgap2",3.14129964944971e-09,0.377687409107234,0.472,0.238,3.48778500078401e-05,"3","Arfgap2"
"Ptges3",3.57324270677873e-09,0.450475742023571,0.56,0.321,3.96737137733642e-05,"3","Ptges3"
"Hmox1",3.93144226818707e-09,0.922538470035773,0.264,0.1,4.36508035036811e-05,"3","Hmox1"
"Eef2",5.27927720619440e-09,0.341203906091621,0.994,0.991,5.86158148203764e-05,"3","Eef2"
"Myl12a",6.09077725442672e-09,0.358304986371414,0.717,0.456,6.76258998558998e-05,"3","Myl12a"
"Ywhag",6.56995976721262e-09,0.476728810440911,0.535,0.302,7.29462632953618e-05,"3","Ywhag"
"Tuba4a",6.85280659766648e-09,0.723038636124128,0.421,0.222,7.60867116538909e-05,"3","Tuba4a"
"Hmgcr",7.57722852347622e-09,0.300082893134688,0.358,0.154,8.41299682961564e-05,"3","Hmgcr"
"Selenok",7.92524122989076e-09,0.369501647949305,1,1,8.79939533754772e-05,"3","Selenok"
"Ly6h1",9.0250436410951e-09,0.343050784275933,1,0.995,0.000100205059547079,"3","Ly6h"
"Zfand5",1.09749703065459e-08,0.44407759768972,0.503,0.274,0.000121855095313579,"3","Zfand5"
